PK_Calendario;Fecha;Año;Mes;Trimestre;NombreMes;NombreTrimestre;MesAño;DiasTotales;DiasHabiles;CoeficienteIPI;CoeficienteICM
19000301;1900-03-01;1900;3;1;Marzo;Trim. 1;1900-03-01;NULL;NULL;NULL;NULL
19000401;1900-04-01;1900;4;2;Abril;Trim. 2;1900-04-01;NULL;NULL;NULL;NULL
19000501;1900-05-01;1900;5;2;Mayo;Trim. 2;1900-05-01;NULL;NULL;NULL;NULL
19000601;1900-06-01;1900;6;2;Junio;Trim. 2;1900-06-01;NULL;NULL;NULL;NULL
19000701;1900-07-01;1900;7;3;Julio;Trim. 3;1900-07-01;NULL;NULL;NULL;NULL
19000801;1900-08-01;1900;8;3;Agosto;Trim. 3;1900-08-01;NULL;NULL;NULL;NULL
19000901;1900-09-01;1900;9;3;Septiembre;Trim. 3;1900-09-01;NULL;NULL;NULL;NULL
19001001;1900-10-01;1900;10;4;Octubre;Trim. 4;1900-10-01;NULL;NULL;NULL;NULL
19001101;1900-11-01;1900;11;4;Noviembre;Trim. 4;1900-11-01;NULL;NULL;NULL;NULL
19001201;1900-12-01;1900;12;4;Diciembre;Trim. 4;1900-12-01;NULL;NULL;NULL;NULL
19010101;1901-01-01;1901;1;1;Enero;Trim. 1;1901-01-01;NULL;NULL;NULL;NULL
19010201;1901-02-01;1901;2;1;Febrero;Trim. 1;1901-02-01;NULL;NULL;NULL;NULL
19010301;1901-03-01;1901;3;1;Marzo;Trim. 1;1901-03-01;NULL;NULL;NULL;NULL
19010401;1901-04-01;1901;4;2;Abril;Trim. 2;1901-04-01;NULL;NULL;NULL;NULL
19010501;1901-05-01;1901;5;2;Mayo;Trim. 2;1901-05-01;NULL;NULL;NULL;NULL
19010601;1901-06-01;1901;6;2;Junio;Trim. 2;1901-06-01;NULL;NULL;NULL;NULL
19010701;1901-07-01;1901;7;3;Julio;Trim. 3;1901-07-01;NULL;NULL;NULL;NULL
19010801;1901-08-01;1901;8;3;Agosto;Trim. 3;1901-08-01;NULL;NULL;NULL;NULL
19010901;1901-09-01;1901;9;3;Septiembre;Trim. 3;1901-09-01;NULL;NULL;NULL;NULL
19011001;1901-10-01;1901;10;4;Octubre;Trim. 4;1901-10-01;NULL;NULL;NULL;NULL
19011101;1901-11-01;1901;11;4;Noviembre;Trim. 4;1901-11-01;NULL;NULL;NULL;NULL
19011201;1901-12-01;1901;12;4;Diciembre;Trim. 4;1901-12-01;NULL;NULL;NULL;NULL
19020101;1902-01-01;1902;1;1;Enero;Trim. 1;1902-01-01;NULL;NULL;NULL;NULL
19020201;1902-02-01;1902;2;1;Febrero;Trim. 1;1902-02-01;NULL;NULL;NULL;NULL
19020301;1902-03-01;1902;3;1;Marzo;Trim. 1;1902-03-01;NULL;NULL;NULL;NULL
19020401;1902-04-01;1902;4;2;Abril;Trim. 2;1902-04-01;NULL;NULL;NULL;NULL
