PK_Edad;GrupoEdad;GrupoEdad_4Grupos;GrupoEdad_Defunciones;DescEdadNombre;GrupoEdadMatrimonios_P;GrupoEdadMatrimonios_S
0;"De 0 a 4 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"0                   ";NULL;NULL
1;"De 0 a 4 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"1                   ";NULL;NULL
2;"De 0 a 4 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"2                   ";NULL;NULL
3;"De 0 a 4 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"3                   ";NULL;NULL
4;"De 0 a 4 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"4                   ";NULL;NULL
5;"De 5 a 9 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"5                   ";NULL;NULL
6;"De 5 a 9 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"6                   ";NULL;NULL
7;"De 5 a 9 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"7                   ";NULL;NULL
8;"De 5 a 9 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"8                   ";NULL;NULL
9;"De 5 a 9 años                                                                                       ";"Menores de 15 años                                                                                  ";0 a 9 años;"9                   ";NULL;NULL
10;"De 10 a 14 años                                                                                     ";"Menores de 15 años                                                                                  ";10 a 24 años;"10                  ";< de 15;< de 20
11;"De 10 a 14 años                                                                                     ";"Menores de 15 años                                                                                  ";10 a 24 años;"11                  ";< de 15;< de 20
12;"De 10 a 14 años                                                                                     ";"Menores de 15 años                                                                                  ";10 a 24 años;"12                  ";< de 15;< de 20
13;"De 10 a 14 años                                                                                     ";"Menores de 15 años                                                                                  ";10 a 24 años;"13                  ";< de 15;< de 20
14;"De 10 a 14 años                                                                                     ";"Menores de 15 años                                                                                  ";10 a 24 años;"14                  ";< de 15;< de 20
15;"De 15 a 19 años                                                                                     ";"De 15 a 44 años                                                                                     ";10 a 24 años;"15                  ";De 15 a 19;< de 20
