PK_Nacionalidad;Nacionalidad;Continente;Extranjero
101;"ALBANIA                                                                         ";"Europa (excepto España)                 ";2
102;"AUSTRIA                                                                         ";"Europa (excepto España)                 ";2
103;"BÉLGICA                                                                         ";"Europa (excepto España)                 ";2
104;"BULGARIA                                                                        ";"Europa (excepto España)                 ";2
105;"CHECOSLOVAQUIA                                                                  ";"Europa (excepto España)                 ";2
106;"CHIPRE                                                                          ";"Europa (excepto España)                 ";2
107;"DINAMARCA                                                                       ";"Europa (excepto España)                 ";2
108;"ESPAÑA                                                                          ";"España                                  ";1
109;"FINLANDIA                                                                       ";"Europa (excepto España)                 ";2
110;"FRANCIA                                                                         ";"Europa (excepto España)                 ";2
111;"GRECIA                                                                          ";"Europa (excepto España)                 ";2
112;"HUNGRÍA                                                                         ";"Europa (excepto España)                 ";2
113;"IRLANDA                                                                         ";"Europa (excepto España)                 ";2
114;"ISLANDIA                                                                        ";"Europa (excepto España)                 ";2
115;"ITALIA                                                                          ";"Europa (excepto España)                 ";2
116;"LIECHTENSTEIN                                                                   ";"Europa (excepto España)                 ";2
117;"LUXEMBURGO                                                                      ";"Europa (excepto España)                 ";2
118;"MALTA                                                                           ";"Europa (excepto España)                 ";2
119;"MÓNACO                                                                          ";"Europa (excepto España)                 ";2
120;"NORUEGA                                                                         ";"Europa (excepto España)                 ";2
121;"PAÍSES BAJOS                                                                    ";"Europa (excepto España)                 ";2
122;"POLONIA                                                                         ";"Europa (excepto España)                 ";2
123;"PORTUGAL                                                                        ";"Europa (excepto España)                 ";2
124;"ANDORRA                                                                         ";"Europa (excepto España)                 ";2
125;"REINO UNIDO                                                                     ";"Europa (excepto España)                 ";2
126;"ALEMANIA                                                                        ";"Europa (excepto España)                 ";2
127;"REPÚBLICA DEMOCRÁTICA ALEMANA                                                   ";"Europa (excepto España)                 ";2
128;"RUMANÍA                                                                         ";"Europa (excepto España)                 ";2
129;"SAN MARINO                                                                      ";"Europa (excepto España)                 ";2
130;"SANTA SEDE                                                                      ";"Europa (excepto España)                 ";2
131;"SUECIA                                                                          ";"Europa (excepto España)                 ";2
132;"SUIZA                                                                           ";"Europa (excepto España)                 ";2
133;"U.R.S.S., UNIÓN SOVIÉTICA                                                       ";"Europa (excepto España)                 ";2
134;"ANTIGUA YUGOSLAVIA                                                              ";"Europa (excepto España)                 ";2
135;"UCRANIA                                                                         ";"Europa (excepto España)                 ";2
136;"LETONIA                                                                         ";"Europa (excepto España)                 ";2
