PK_TamañoMunicipio;TamañoMunicipio
0;"Pamplona capital                                  "
1;"Menos de 101 hab                                  "
2;"De 101 a 200 hab.                                 "
3;"De 201 a 500 hab.                                 "
4;"De 501 a 1.000 hab.                               "
5;"De 1.001 a 2.000 hab.                             "
6;"De 2.001 a 3.000 hab.                             "
7;"De 3.001 a 5.000 hab.                             "
8;"De 5.001 a 10.000 hab.                            "
9;"De 10.001 a 20.000 hab.                           "
10;"De 20.001 a 30.000 hab.                           "
11;"De más de 30.000 hab                              "
