PK_Zona;ID_Zona;Zona;TipoZona;Mapa
1;1;"ABÁIGAR                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
2;10;"ALTSASU / ALSASUA                                 ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
3;100;"EULATE                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
4;101;"EZCABARTE                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
5;102;"EZKURRA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
6;103;"EZPROGUI                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
7;104;"FALCES                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
8;105;"FITERO                                            ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
9;106;"FONTELLAS                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
10;107;"FUNES                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
11;108;"FUSTIÑANA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
12;109;"GALAR                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
13;11;"ALLÍN / ALLIN                                     ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
14;110;"GALLIPIENZO / GALIPENTZU                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
15;111;"GALLUÉS / GALOZE                                  ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
16;112;"GARAIOA                                           ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
17;113;"GARDE                                             ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
18;114;"GARÍNOAIN                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
19;115;"GARRALDA                                          ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
20;116;"GENEVILLA                                         ";Municipios;https://raw.githubusercontent.com/mcapmon/MapsNavGob/master/Municipios.svg
