PK_PoblacionEstadistica;FK_Sexo;FK_FechaPoblacion;FK_Edad;Poblacion
130291;1;19940101;0;2445
130292;1;19940101;1;2358
130293;1;19940101;2;2465
130294;1;19940101;3;2298
130295;1;19940101;4;2484
130296;1;19940101;5;2452
130297;1;19940101;6;2451
130298;1;19940101;7;2688
130299;1;19940101;8;2690
130300;1;19940101;9;2838
130301;1;19940101;10;2964
130302;1;19940101;11;3133
130303;1;19940101;12;3285
130304;1;19940101;13;3558
130305;1;19940101;14;3675
130306;1;19940101;15;3978
130307;1;19940101;16;4173
130308;1;19940101;17;4382
130309;1;19940101;18;4322
130310;1;19940101;19;4229
130311;1;19940101;20;4121
130312;1;19940101;21;4288
130313;1;19940101;22;4274
130314;1;19940101;23;4261
130315;1;19940101;24;4348
130316;1;19940101;25;4268
130317;1;19940101;26;4258
130318;1;19940101;27;4175
130319;1;19940101;28;4332
130320;1;19940101;29;4395
130321;1;19940101;30;4413
130322;1;19940101;31;4136
130323;1;19940101;32;4153
130324;1;19940101;33;4066
130325;1;19940101;34;4094
130326;1;19940101;35;3945
130327;1;19940101;36;3973
130328;1;19940101;37;3817
130329;1;19940101;38;3749
130330;1;19940101;39;3555
130331;1;19940101;40;3578
130332;1;19940101;41;3611
130333;1;19940101;42;3430
130334;1;19940101;43;3425
130335;1;19940101;44;3599
130336;1;19940101;45;3643
130337;1;19940101;46;3454
130338;1;19940101;47;3344
130339;1;19940101;48;3569
130340;1;19940101;49;3193
130341;1;19940101;50;3295
130342;1;19940101;51;2975
130343;1;19940101;52;2739
130344;1;19940101;53;2865
130345;1;19940101;54;2215
130346;1;19940101;55;2243
130347;1;19940101;56;2439
130348;1;19940101;57;2944
130349;1;19940101;58;2920
130350;1;19940101;59;2769
130351;1;19940101;60;2908
130352;1;19940101;61;2957
130353;1;19940101;62;2681
130354;1;19940101;63;2913
130355;1;19940101;64;2673
130356;1;19940101;65;2714
130357;1;19940101;66;2556
130358;1;19940101;67;2546
130359;1;19940101;68;2476
130360;1;19940101;69;2366
130361;1;19940101;70;2356
130362;1;19940101;71;2195
130363;1;19940101;72;2151
130364;1;19940101;73;1888
130365;1;19940101;74;1526
130366;1;19940101;75;1513
130367;1;19940101;76;1320
130368;1;19940101;77;1175
130369;1;19940101;78;1246
130370;1;19940101;79;1104
130371;1;19940101;80;1039
130372;1;19940101;81;960
130373;1;19940101;82;822
130374;1;19940101;83;779
130375;1;19940101;84;666
130376;1;19940101;85;631
130377;1;19940101;86;499
130378;1;19940101;87;380
130379;1;19940101;88;340
130380;1;19940101;89;242
130381;1;19940101;90;210
130382;1;19940101;91;148
130383;1;19940101;92;116
130384;1;19940101;93;97
130385;1;19940101;94;42
130386;1;19940101;95;34
130387;1;19940101;96;32
130388;1;19940101;97;19
130389;1;19940101;98;14
130390;1;19940101;99;7
130391;1;19940101;100;4
130392;1;19950101;0;2376
130393;1;19950101;1;2378
130394;1;19950101;2;2336
130395;1;19950101;3;2459
130396;1;19950101;4;2305
130397;1;19950101;5;2484
130398;1;19950101;6;2459
130399;1;19950101;7;2441
130400;1;19950101;8;2687
130401;1;19950101;9;2683
130402;1;19950101;10;2845
130403;1;19950101;11;2964
130404;1;19950101;12;3134
130405;1;19950101;13;3285
130406;1;19950101;14;3556
130407;1;19950101;15;3680
130408;1;19950101;16;3973
130409;1;19950101;17;4178
130410;1;19950101;18;4383
130411;1;19950101;19;4320
130412;1;19950101;20;4228
130413;1;19950101;21;4116
130414;1;19950101;22;4296
130415;1;19950101;23;4272
130416;1;19950101;24;4254
130417;1;19950101;25;4353
130418;1;19950101;26;4268
130419;1;19950101;27;4263
130420;1;19950101;28;4166
130421;1;19950101;29;4322
130422;1;19950101;30;4394
130423;1;19950101;31;4392
130424;1;19950101;32;4123
130425;1;19950101;33;4148
130426;1;19950101;34;4062
130427;1;19950101;35;4086
130428;1;19950101;36;3933
130429;1;19950101;37;3960
130430;1;19950101;38;3804
130431;1;19950101;39;3734
130432;1;19950101;40;3534
130433;1;19950101;41;3577
130434;1;19950101;42;3600
130435;1;19950101;43;3419
130436;1;19950101;44;3412
130437;1;19950101;45;3593
130438;1;19950101;46;3639
130439;1;19950101;47;3445
130440;1;19950101;48;3335
130441;1;19950101;49;3558
130442;1;19950101;50;3184
130443;1;19950101;51;3283
130444;1;19950101;52;2969
130445;1;19950101;53;2734
130446;1;19950101;54;2852
130447;1;19950101;55;2199
130448;1;19950101;56;2234
130449;1;19950101;57;2425
130450;1;19950101;58;2928
130451;1;19950101;59;2903
130452;1;19950101;60;2753
130453;1;19950101;61;2891
130454;1;19950101;62;2935
130455;1;19950101;63;2649
130456;1;19950101;64;2881
130457;1;19950101;65;2636
130458;1;19950101;66;2675
130459;1;19950101;67;2517
130460;1;19950101;68;2505
130461;1;19950101;69;2426
130462;1;19950101;70;2313
130463;1;19950101;71;2293
130464;1;19950101;72;2136
130465;1;19950101;73;2081
130466;1;19950101;74;1817
130467;1;19950101;75;1459
130468;1;19950101;76;1453
130469;1;19950101;77;1255
130470;1;19950101;78;1106
130471;1;19950101;79;1171
130472;1;19950101;80;1031
130473;1;19950101;81;958
130474;1;19950101;82;872
130475;1;19950101;83;751
130476;1;19950101;84;698
130477;1;19950101;85;587
130478;1;19950101;86;553
130479;1;19950101;87;425
130480;1;19950101;88;320
130481;1;19950101;89;280
130482;1;19950101;90;190
130483;1;19950101;91;165
130484;1;19950101;92;113
130485;1;19950101;93;89
130486;1;19950101;94;72
130487;1;19950101;95;27
130488;1;19950101;96;23
130489;1;19950101;97;22
130490;1;19950101;98;11
130491;1;19950101;99;9
130492;1;19950101;100;3
130493;1;19960101;0;2322
130494;1;19960101;1;2254
130495;1;19960101;2;2292
130496;1;19960101;3;2317
130497;1;19960101;4;2379
130498;1;19960101;5;2374
130499;1;19960101;6;2398
130500;1;19960101;7;2475
130501;1;19960101;8;2449
130502;1;19960101;9;2559
130503;1;19960101;10;2681
130504;1;19960101;11;2764
130505;1;19960101;12;2908
130506;1;19960101;13;3049
130507;1;19960101;14;3210
130508;1;19960101;15;3419
130509;1;19960101;16;3620
130510;1;19960101;17;3826
130511;1;19960101;18;4075
130512;1;19960101;19;4282
130513;1;19960101;20;4349
130514;1;19960101;21;4270
130515;1;19960101;22;4167
130516;1;19960101;23;4207
130517;1;19960101;24;4284
130518;1;19960101;25;4256
130519;1;19960101;26;4302
130520;1;19960101;27;4310
130521;1;19960101;28;4265
130522;1;19960101;29;4210
130523;1;19960101;30;4233
130524;1;19960101;31;4349
130525;1;19960101;32;4378
130526;1;19960101;33;4239
130527;1;19960101;34;4123
130528;1;19960101;35;4096
130529;1;19960101;36;4065
130530;1;19960101;37;3996
130531;1;19960101;38;3931
130532;1;19960101;39;3866
130533;1;19960101;40;3752
130534;1;19960101;41;3613
130535;1;19960101;42;3541
130536;1;19960101;43;3579
130537;1;19960101;44;3495
130538;1;19960101;45;3400
130539;1;19960101;46;3486
130540;1;19960101;47;3604
130541;1;19960101;48;3529
130542;1;19960101;49;3373
130543;1;19960101;50;3429
130544;1;19960101;51;3355
130545;1;19960101;52;3217
130546;1;19960101;53;3109
130547;1;19960101;54;2838
130548;1;19960101;55;2777
130549;1;19960101;56;2503
130550;1;19960101;57;2194
130551;1;19960101;58;2306
130552;1;19960101;59;2648
130553;1;19960101;60;2882
130554;1;19960101;61;2792
130555;1;19960101;62;2787
130556;1;19960101;63;2869
130557;1;19960101;64;2738
130558;1;19960101;65;2718
130559;1;19960101;66;2707
130560;1;19960101;67;2591
130561;1;19960101;68;2534
130562;1;19960101;69;2449
130563;1;19960101;70;2398
130564;1;19960101;71;2288
130565;1;19960101;72;2207
130566;1;19960101;73;2117
130567;1;19960101;74;2002
130568;1;19960101;75;1835
130569;1;19960101;76;1533
130570;1;19960101;77;1355
130571;1;19960101;78;1251
130572;1;19960101;79;1079
130573;1;19960101;80;1025
130574;1;19960101;81;983
130575;1;19960101;82;876
130576;1;19960101;83;784
130577;1;19960101;84;691
130578;1;19960101;85;607
130579;1;19960101;86;522
130580;1;19960101;87;460
130581;1;19960101;88;384
130582;1;19960101;89;281
130583;1;19960101;90;219
130584;1;19960101;91;161
130585;1;19960101;92;114
130586;1;19960101;93;86
130587;1;19960101;94;62
130588;1;19960101;95;48
130589;1;19960101;96;25
130590;1;19960101;97;10
130591;1;19960101;98;9
130592;1;19960101;99;6
130593;1;19960101;100;2
130594;1;19970101;0;2555
130595;1;19970101;1;2281
130596;1;19970101;2;2312
130597;1;19970101;3;2345
130598;1;19970101;4;2360
130599;1;19970101;5;2478
130600;1;19970101;6;2344
130601;1;19970101;7;2512
130602;1;19970101;8;2506
130603;1;19970101;9;2463
130604;1;19970101;10;2713
130605;1;19970101;11;2707
130606;1;19970101;12;2885
130607;1;19970101;13;2992
130608;1;19970101;14;3174
130609;1;19970101;15;3330
130610;1;19970101;16;3605
130611;1;19970101;17;3742
130612;1;19970101;18;4032
130613;1;19970101;19;4258
130614;1;19970101;20;4463
130615;1;19970101;21;4398
130616;1;19970101;22;4320
130617;1;19970101;23;4203
130618;1;19970101;24;4395
130619;1;19970101;25;4367
130620;1;19970101;26;4340
130621;1;19970101;27;4447
130622;1;19970101;28;4351
130623;1;19970101;29;4350
130624;1;19970101;30;4237
130625;1;19970101;31;4385
130626;1;19970101;32;4454
130627;1;19970101;33;4426
130628;1;19970101;34;4163
130629;1;19970101;35;4190
130630;1;19970101;36;4098
130631;1;19970101;37;4114
130632;1;19970101;38;3964
130633;1;19970101;39;3978
130634;1;19970101;40;3819
130635;1;19970101;41;3746
130636;1;19970101;42;3555
130637;1;19970101;43;3613
130638;1;19970101;44;3624
130639;1;19970101;45;3437
130640;1;19970101;46;3413
130641;1;19970101;47;3603
